"Function
功能"	"Class ID
类"	"Ver.
版本"	"FID2/
IDIS/Hexing"	"Attribute
&
Method
No.
属性
方法"	"Object
&
Attribute
Name
对象&属性名"	"Attribute
&
Parameter
Type
属性&方法参数类型"	"OBIS Code
&
Default Value
OBIS&默认值"	"Display OBIS code（6）
显示OBIS（6 段）"	"Display OBIS code（4）
显示OBIS（4 段）"	"Access Right
访问权限"				"Comments
注释"	"XML Comments
XML 注释"	"Coding
编码"
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Event RTC set -counter		0-0:96.51.15.255	C.51.15						时钟修改总次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	Hexing		Event RTC set -timestamp		0-0:96.51.16.255	C.51.16						最近一次时钟修改发生时间		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	octet_string				\	\	R	R		Date_time	Hex
电网质量//电网质量	1	0	Hexing		Occurring&Ending time of overcurrent event in Phase L1 previous [y] month		0-0:96.128.0.Y	C.h.0.Y						"Occurring&Ending time of overcurrent event in Phase L1 
previous [y] month"	1<=y<=12;101<=Y<=112	
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	structure				\	\	R	R	"structure
   {
       date-time; octet-string[12] 开始时间
       date-time;  octet-string[12] 结束时间     
   }"		Hex
电网质量//电网质量	1	0	Hexing		Occurring&Ending time of overcurrent event in Phase L2 previous [y] month		0-0:96.128.1.Y	C.h.1.Y						"Occurring&Ending time of overcurrent event in Phase L2 
previous [y] month"	1<=y<=12;101<=Y<=112	
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	structure				\	\	R	R	"structure
   {
       date-time; octet-string[12] 开始时间
       date-time;  octet-string[12] 结束时间     
   }"		Hex
电网质量//电网质量	1	0	Hexing		Occurring&Ending time of overcurrent event in Phase L3 previous [y] month		0-0:96.128.2.Y	C.h.2.Y						"Occurring&Ending time of overcurrent event in Phase L3
previous [y] month"	1<=y<=12;101<=Y<=112	
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	structure				\	\	R	R	"structure
   {
       date-time; octet-string[12] 开始时间
       date-time;  octet-string[12] 结束时间     
   }"		Hex
电网质量//电网质量	1	0	Hexing		Occurring&Ending time of phase failure event in Phase L1 previous [y] month		0-0:96.128.3.Y	C.h.3.Y						Occurring&Ending time of phase failure event in Phase L1 previous [y] month	1<=y<=12;101<=Y<=112	
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	structure				\	\	R	R	"structure
   {
       date-time; octet-string[12] 开始时间
       date-time;  octet-string[12] 结束时间     
   }"		Hex
电网质量//电网质量	1	0	Hexing		Occurring&Ending time of phase failure event in Phase L2 previous [y] month		0-0:96.128.4.Y	C.h.4.Y						Occurring&Ending time of phase failure event in Phase L2 previous [y] month	1<=y<=12;101<=Y<=112	
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	structure				\	\	R	R	"structure
   {
       date-time; octet-string[12] 开始时间
       date-time;  octet-string[12] 结束时间     
   }"		Hex
电网质量//电网质量	1	0	Hexing		Occurring&Ending time of phase failure event in Phase L3 previous [y] month		0-0:96.128.5.Y	C.h.5.Y						Occurring&Ending time of phase failure event in Phase L3 previous [y] month	1<=y<=12;101<=Y<=112	
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	structure				\	\	R	R	"structure
   {
       date-time; octet-string[12] 开始时间
       date-time;  octet-string[12] 结束时间     
   }"		Hex
电网质量//电网质量	1	0	Hexing		Occurring&Ending time of Loss of voltage event in Phase L1 previous [y] month		0-0:96.128.6.Y	C.h.6.Y						Occurring&Ending time of Loss of voltage event in Phase L1 previous [y] month	1<=y<=12;101<=Y<=112	
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	structure				\	\	R	R	"structure
   {
       date-time; octet-string[12] 开始时间
       date-time;  octet-string[12] 结束时间     
   }"		Hex
电网质量//电网质量	1	0	Hexing		Occurring&Ending time of Loss of voltage event in Phase L2 previous [y] month		0-0:96.128.7.Y	C.h.7.Y						Occurring&Ending time of Loss of voltage event in Phase L2 previous [y] month	1<=y<=12;101<=Y<=112	
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	structure				\	\	R	R	"structure
   {
       date-time; octet-string[12] 开始时间
       date-time;  octet-string[12] 结束时间     
   }"		Hex
电网质量//电网质量	1	0	Hexing		Occurring&Ending time of Loss of voltage event in Phase L3 previous [y] month		0-0:96.128.8.Y	C.h.8.Y						Occurring&Ending time of Loss of voltage event in Phase L3 previous [y] month	1<=y<=12;101<=Y<=112	
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	structure				\	\	R	R	"structure
   {
       date-time; octet-string[12] 开始时间
       date-time;  octet-string[12] 结束时间     
   }"		Hex
电网质量//电网质量	1	0	Hexing		Occurring&Ending time of over voltage event in Phase L1 previous [y] month		0-0:96.128.9.Y	C.h.9.Y						Occurring&Ending time of over voltage event in Phase L1 previous [y] month	1<=y<=12;101<=Y<=112	
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	structure				\	\	R	R	"structure
   {
       date-time; octet-string[12] 开始时间
       date-time;  octet-string[12] 结束时间     
   }"		Hex
电网质量//电网质量	1	0	Hexing		Occurring&Ending time of over voltage event in Phase L2 previous [y] month		0-0:96.128.10.Y							Occurring&Ending time of over voltage event in Phase L2 previous [y] month	1<=y<=12;101<=Y<=112	
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	structure				\	\	R	R	"structure
   {
       date-time; octet-string[12] 开始时间
       date-time;  octet-string[12] 结束时间     
   }"		Hex
电网质量//电网质量	1	0	Hexing		Occurring&Ending time of over voltage event in Phase L3 previous [y] month		0-0:96.128.11.Y							Occurring&Ending time of over voltage event in Phase L3 previous [y] month	1<=y<=12;101<=Y<=112	
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	structure				\	\	R	R	"structure
   {
       date-time; octet-string[12] 开始时间
       date-time;  octet-string[12] 结束时间     
   }"		Hex
电网质量//电网质量	1	0	Hexing		Occurring&Ending time of under voltage event in Phase L1 previous [y] month		0-0:96.128.12.Y							Occurring&Ending time of under voltage event in Phase L1 previous [y] month	1<=y<=12;101<=Y<=112	
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	structure				\	\	R	R	"structure
   {
       date-time; octet-string[12] 开始时间
       date-time;  octet-string[12] 结束时间     
   }"		Hex
电网质量//电网质量	1	0	Hexing		Occurring&Ending time of under voltage event in Phase L2 previous [y] month		0-0:96.128.13.Y							Occurring&Ending time of under voltage event in Phase L2 previous [y] month	1<=y<=12;101<=Y<=112	
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	structure				\	\	R	R	"structure
   {
       date-time; octet-string[12] 开始时间
       date-time;  octet-string[12] 结束时间     
   }"		Hex
电网质量//电网质量	1	0	Hexing		Occurring&Ending time of under voltage event in Phase L3 previous [y] month		0-0:96.128.14.Y							Occurring&Ending time of under voltage event in Phase L3 previous [y] month	1<=y<=12;101<=Y<=112	
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	structure				\	\	R	R	"structure
   {
       date-time; octet-string[12] 开始时间
       date-time;  octet-string[12] 结束时间     
   }"		Hex
电网质量//电网质量	1	0	Hexing		Occurring&Ending time of current reverse event in Phase L1 previous [y] month		0-0:96.128.15.Y							Occurring&Ending time of current reverse event in Phase L1 previous [y] month	1<=y<=12;101<=Y<=112	
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	structure				\	\	R	R	"structure
   {
       date-time; octet-string[12] 开始时间
       date-time;  octet-string[12] 结束时间     
   }"		Hex
电网质量//电网质量	1	0	Hexing		Occurring&Ending time of current reverse event in Phase L2 previous [y] month		0-0:96.128.16.Y							Occurring&Ending time of current reverse event in Phase L2 previous [y] month	1<=y<=12;101<=Y<=112	
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	structure				\	\	R	R	"structure
   {
       date-time; octet-string[12] 开始时间
       date-time;  octet-string[12] 结束时间     
   }"		Hex
电网质量//电网质量	1	0	Hexing		Occurring&Ending time of current reverse event in Phase L3 previous [y] month		0-0:96.128.17.Y							Occurring&Ending time of current reverse event in Phase L3 previous [y] month	1<=y<=12;101<=Y<=112	
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	structure				\	\	R	R	"structure
   {
       date-time; octet-string[12] 开始时间
       date-time;  octet-string[12] 结束时间     
   }"		Hex
电网质量//电网质量	1	0	Hexing		Occurring&Ending time of bypass event previous [y] month		0-0:96.128.18.Y							Occurring&Ending time of bypass event previous [y] month	1<=y<=12;101<=Y<=112	
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	structure				\	\	R	R	"structure
   {
       date-time; octet-string[12] 开始时间
       date-time;  octet-string[12] 结束时间     
   }"		Hex
电网质量//电网质量	1	0	Hexing		Occurring&Ending time of long power failures event in all phase previous [y] month 		0-0:96.128.19.Y							Occurring&Ending time of long power failures event in all phase previous [y] month 	1<=y<=12;101<=Y<=112	
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	structure				\	\	R	R	"structure
   {
       date-time; octet-string[12] 开始时间
       date-time;  octet-string[12] 结束时间     
   }"		Hex
电网质量//电网质量	1	0	Hexing		Occurring time of Meter Clear previous [y] month		0-0:96.128.20.Y							Occurring time of Meter Clear previous [y] month	1<=y<=12;101<=Y<=112	
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	octet-string[12]				\	\	R	R		date_time	Hex
电网质量//电网质量	1	0	Hexing		"Occurring time of MD reset
previous [y] month"		0-0:96.128.21.Y							Occurring time of MD reset previous [y] month	1<=y<=12;101<=Y<=112	
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	octet-string[12]				\	\	R	R		date_time	Hex
电网质量//电网质量	1	0	Hexing		Occurring time of Battery Voltage Low previous [y] month		0-0:96.128.23.Y							Occurring time of Battery Voltage Low previous [y] month	1<=y<=12;101<=Y<=112	
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	octet-string[12]				\	\	R	R		date_time	Hex
电网质量//电网质量	1	0	Hexing		Occurring time of modifying password previous [y] month		0-0:96.128.24.Y							Occurring time of modifying password previous [y] month	1<=y<=12;101<=Y<=112	
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	octet-string[12]				\	\	R	R		date_time	Hex
电网质量//电网质量	1	0	Hexing		Occurring time of inverse phase sequence event previous [y] month		0-0:96.128.25.Y							Occurring time of inverse phase sequence event previous [y] month	1<=y<=12;101<=Y<=112	
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	octet-string[12]				\	\	R	R		date_time	Hex
电网质量//电网质量	1	0	Hexing		Occurring time of unbalanced voltage event previous [y] month		0-0:96.128.26.Y							Occurring time of unbalanced voltage event previous [y] month	1<=y<=12;101<=Y<=112	
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	octet-string[12]				\	\	R	R		date_time	Hex
电网质量//电网质量	1	0	Hexing		Occurring time of Programming previous [y] month		0-0:96.128.27.Y							Occurring time of Programming previous [y] month	1<=y<=12;101<=Y<=112	
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	octet-string[12]				\	\	R	R		date_time	Hex
电网质量//电网质量	3	0	Hexing		Duration of overload records in previous month		1-0:11.165.0.255	11.165.0						上一月过载持续时间		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	double_long_unsigned				\	\	R	R			
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type				\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	3	0	Hexing		Threshold for high temperature		0-0:96.9.129.255	C.9.A	C.9.A					温度过高判断阀值		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type	{0,9}			\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	FID2 & IDIS		Duration of high temperature		0-0:96.9.130.255	C.9.130						温度过高判断时间延迟		
电网质量//时间相关	3		FID2 & IDIS	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		FID2 & IDIS	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Event occurrence-counter		0-0:96.2.204.255	C.2.204						事件发生次数（专项事件配置）		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	double_long_unsigned				\	\	R	R	直接读取该OBIS不应当回复		Hex
电网质量//时间相关	3	0	FID2 & IDIS		Event total accumulation duration		0-0:96.2.205.255	C.2.205						事件总累积持续时间（专项事件配置）		
电网质量//时间相关	3		FID2 & IDIS	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		FID2 & IDIS	a2	value	double_long_unsigned				\	\	R	R	直接读取该OBIS不应当回复		
电网质量//时间相关	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	FID2 & IDIS		Number of no-load		0-0:96.7.139.255	C.7.139						空载次数		
电网质量//电网质量	1		FID2 & IDIS	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		FID2 & IDIS	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3	0	FID2 & IDIS		Maximum time of no-load		0-0:96.7.140.255	C.7.140						空载最长时间		
电网质量//时间相关	3		FID2 & IDIS	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		FID2 & IDIS	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	FID2 & IDIS		Minimum time of no-load		0-0:96.7.141.255	C.7.141						空载最短时间		
电网质量//时间相关	3		FID2 & IDIS	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		FID2 & IDIS	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Number of Module cover removed		0-0:96.51.27.255	C.51.27						开模块盖次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	Hexing		Number of Limiter threshold exceeded		0-0:96.51.28.255	C.51.28						超门限事件发生次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//时间相关	3	0	FID2 & IDIS		Time threshold of CT open circuit 		0-0:96.1.245.255	C.1.245						CT开路延时检测时间		
电网质量//时间相关	3		FID2 & IDIS	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		FID2 & IDIS	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3	0	FID2 & IDIS		Time threshold of Neutral Line interference detect		0-0:96.1.246.255	C.1.246						零线干扰检测延时时间		
电网质量//时间相关	3		FID2 & IDIS	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		FID2 & IDIS	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3	0	FID2 & IDIS		Time threshold of Modules plug detect		0-0:96.1.247.255	C.1.247						模块插拔检测延时时间		
电网质量//时间相关	3		FID2 & IDIS	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		FID2 & IDIS	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//电网质量	3	0	Hexing		Threshold for phase voltage in neutral  		1-0:12.182.0.255	12.182.0						零线接相电压阀值		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type	{-1,56}			\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for phase voltage in neutral  		1-0:12.183.0.255	12.183.0						零线接相电压判断延迟时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	3	0	Hexing		Threshold % of approved demand value		1-0:1.35.133.255	1.35.133						过载阀值百分比（用于判断视在功率1-0:134.7.0.255，尼泊尔）		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned				\	\	RW	R	举例：客户需设置approved demand value为20KVA,Threshold % of approved demand value为20%，则大于20KVA(1+20%)时继电器拉闸		
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type	{-1,56}			\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断电压	3	0	Hexing		Threshold for Low Battery Voltage of Internal Battery (voltage)		1-0:12.184.0.255	12.184.0						内部电池欠压阀值		
电网质量//判断电压	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断电压	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//判断电压	3		Hexing	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R			
电网质量//判断电压	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time Threshold for Meter box cover removed		0-0:96.1.251.255	C.1.251						开表箱盖延迟判断时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	3	0	Hexing		Voltage qualification rate parameter		1-0:12.187.0.255	12.187.0						电压合格率参数		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	Voltage_qualification_rate_parameter				\	\	RW	R	"structure
{
 电压考核上限 long-unsigned
 电压考核下限 long-unsigned
 电压合格上限 long-unsigned
 电压合格下限  long-unsigned
}"		
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type				\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	3	0	Hexing		Time threshold for opened enable		0-0:96.129.2.255	C.A.2						显示opened使能时间门限		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3	0	Hexing	3	Time threshold for Tesla coil Tamper		1-0:11.178.0.255							特斯拉线圈检测时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Number of Tesla coil Tamper		1-0:11.179.0.255							检测时间内，发生特斯拉线圈窃电次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量量//电量	3	0	Hexing		Energy  disconnect  threshold 		"1-0:144.135.0.255
"							电量拉闸阀值		
电量//电量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电量//电量	3		Hexing	a2	value	double_long_unsigned				\	\	RW	R		energy	
电量//电量	3		Hexing	a3	scaler_unit	scal_unit_type				\	\	R	R			
电网质量//电量	3	0	FID2 & IDIS		Current threshold of Netrual Line interference detect		1-0:11.180.0.255							零线干扰启动判断电流门限		
电网质量//电量	3		FID2 & IDIS	a1	logical_name	octet_string[6]	"01000bb400ff"			\	\	R	R			Hex
电网质量//电量	3		FID2 & IDIS	a2	value	long_unsigned	0.02In			\	\	RW	R		current	
电网质量//电量	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	"3P CT: {-3,33}
3P CTPT: {-3,33}
 1P: {-2,33}
3P DC: {-2,33}"			\	\	R	R	单位=A, 分辨率:   0.00 A		
电网质量//谐波	3			m1	reset	integer				\	\	\	\			
电网质量//谐波	3	0	FID2 & IDIS		THD threshold of Netrual Line interference detect		1-0:11.181.0.255							零线干扰谐波门限		
电网质量//谐波	3		FID2 & IDIS	a1	logical_name	octet_string[6]	"01000bb500ff"			\	\	R	R			Hex
电网质量//谐波	3		FID2 & IDIS	a2	value	long_unsigned	15%			\	\	RW	R			
电网质量//谐波	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	（-1,56）			\	\	R	R			
电网质量//谐波	3			m1	reset	integer				\	\	\	\			
电网质量//判断最大电流	3	0	Hexing		Threshold for maximum current 		1-0:11.182.0.255							最大电流判断阀值		
电网质量//判断最大电流	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断最大电流	3		Hexing	a2	value	long_unsigned				\	\	RW	R		current	
电网质量//判断最大电流	3		Hexing	a3	scaler_unit	scal_unit_type	"3P CT: {-3,33}
3P CTPT: {-3,33}
 1P: {-2,33}
3P DC: {-2,33}"			\	\	R	R			
电网质量//判断最大电流	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for maximum  current 		1-0:11.183.0.255							最大电流判断延迟时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断空载事件	3	0	Hexing		Threshold for no-load event current 		1-0:11.184.0.255							空载事件电流判断阀值		
电网质量//判断空载事件	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断空载事件	3		Hexing	a2	value	long_unsigned				\	\	RW	R		current	
电网质量//判断空载事件	3		Hexing	a3	scaler_unit	scal_unit_type	"3P CT: {-3,33}
3P CTPT: {-3,33}
 1P: {-2,33}
3P DC: {-2,33}"			\	\	R	R			
电网质量//判断空载事件	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for no-load event		1-0:11.185.0.255							空载事件电流判断延迟时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	FID2 & IDIS		Duration of  disconnection when  high temperature		0-0:96.9.131.255	C.9.131						温度过高拉闸判断时间		
电网质量//时间相关	3		FID2 & IDIS	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		FID2 & IDIS	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//判断失压电流	3	0	Hexing		Threshold for  Loss of voltage (current)		1-0:11.162.0.255	11.162.0						失压电流判断阀值		
电网质量//判断失压电流	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断失压电流	3		Hexing	a2	value	long_unsigned				\	\	RW	R		current	
电网质量//判断失压电流	3		Hexing	a3	scaler_unit	scal_unit_type	"3P CT: {-3,33}
3P CTPT: {-3,33}
 1P: {-2,33}
3P DC: {-2,33}"			\	\	R	R			
电网质量//判断失压电流	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for bad-voltage event		1-0:11.186.0.255	11.186.0						坏电压事件判断延迟时间		
